link,penilaian,price,spek,seller_name,seller_rate,star_rating,cunt_rating,sales,category,Merk,Stock,Supplier_Place,total_penilaian,total_product,percentage_reply_m,reply_time_parameter,registered_date,follower
https://shopee.co.id/PREMIUM-PASHMINA-CRINKLE-ORI-HIJAB-COTTON-SHAWL-HIJAB-PREMIUM-i.156512295.2832222976,"['4.8', '146', '350']",,"['KategoriShopeeFashion MuslimHijab', 'MerekTidak Ada Merek', 'Asal ProdukLokal', 'StyleCasual', 'BahanCotton', 'Stok389', 'Dikirim DariKOTA SURABAYA - MULYOREJO, JAWA TIMUR, ID']",quinstoresby,"['182', '48', '28%', 'hitungan jam', '24 bulan lalu', '373']",4.8,146,350,KategoriShopeeFashion MuslimHijab,MerekTidak Ada Merek,Asal ProdukLokal,StyleCasual,182,48,28%,hitungan jam,24 bulan lalu,373
https://shopee.co.id/Termurah-Pashmina-CRINKLE-GLITTER-BLACK-Rawis-Pashmina-Crinkle-Azara-Pashmina-i.69378570.7051165727,"['4.9', '30', '74']",Rp9.900 - Rp14.500,"['KategoriShopeeFashion MuslimHijab', 'MerekAzara', 'Asal ProdukLokal', 'StyleCasual', 'Bahancrinkle', 'Stok51', 'Dikirim DariKOTA SURABAYA - LAKAR SANTRI, JAWA TIMUR, ID']",grosir_hijab_termurah,"['65,8RB', '435', '98%', 'hitungan jam', '3 tahun lalu', '84,6RB']",4.9,30,74,KategoriShopeeFashion MuslimHijab,MerekAzara,Asal ProdukLokal,StyleCasual,"65,8RB",435,98%,hitungan jam,3 tahun lalu,"84,6RB"
https://shopee.co.id/PASHMINA-CRINKLE-KUSUT-RAWIS-ORI-TURKEY-COTTON-CRUSH-IMPORT-PASMINA-NEGRO-SHAWL-IMPORT-i.16644487.6417166727,"['4.8', '575', '2,1RB']",Rp12.999 - Rp15.999,"['KategoriShopeeFashion MuslimHijab', 'MerekTidak Ada Merek', 'Asal ProdukImpor', 'StyleCasual', 'BahanKatun', 'Stok14717', 'Dikirim DariKOTA SURABAYA - TAMBAKSARI, JAWA TIMUR, ID']",aurahijabku,"['3RB', '92', '89%', 'hitungan jam', '4 tahun lalu', '2,1RB']",4.8,575,"2,1RB",KategoriShopeeFashion MuslimHijab,MerekTidak Ada Merek,Asal ProdukImpor,StyleCasual,3RB,92,89%,hitungan jam,4 tahun lalu,"2,1RB"
https://shopee.co.id/Pasmina-crinkle-pashmina-crinkle-murah-pasmin-crinkle-murah-i.167518624.4942941958,"['4.9', '110', '382']",,"['KategoriShopeeFashion MuslimHijab', 'MerekAzara', 'Asal ProdukImpor', 'StyleInstant', 'BahanCRINCLE', 'Stok35', 'Dikirim DariKOTA SURABAYA - KENJERAN, JAWA TIMUR, ID']",fadhilahpalet27,"['472', '39', '58%', 'hitungan jam', '22 bulan lalu', '696']",4.9,110,382,KategoriShopeeFashion MuslimHijab,MerekAzara,Asal ProdukImpor,StyleInstant,472,39,58%,hitungan jam,22 bulan lalu,696
https://shopee.co.id/Lavanya-Crinkle-Azara-Pashmina-Azara-Crinkle-Pasmina-Crinkle-Azara-Grosir-Murah-Berkualitas-i.48783576.4303272314,"['4.9', '13', '234']",,"['KategoriShopeeFashion MuslimHijab', 'MerekAzara', 'BahanCrinkle', 'Stok766', 'Dikirim DariKOTA SURABAYA - JAMBANGAN, JAWA TIMUR, ID']",syifa_hijab_grosir,"['5,2RB', '396', '81%', 'hitungan jam', '3 tahun lalu', '4,3RB']",4.9,13,234,KategoriShopeeFashion MuslimHijab,MerekAzara,BahanCrinkle,Stok766,"5,2RB",396,81%,hitungan jam,3 tahun lalu,"4,3RB"
https://shopee.co.id/Pashmina-crinkle-plisket-Alzara-i.51749035.6536510552,"['4.9', '29', '136']",,"['KategoriShopeeFashion MuslimHijab', 'MerekAzara', 'Bahanpollycotton', 'Stok153', 'Dikirim DariKOTA SURABAYA - TAMBAKSARI, JAWA TIMUR, ID']",lalashop82,"['9,8RB', '95', '81%', 'hitungan jam', '3 tahun lalu', '7,4RB']",4.9,29,136,KategoriShopeeFashion MuslimHijab,MerekAzara,Bahanpollycotton,Stok153,"9,8RB",95,81%,hitungan jam,3 tahun lalu,"7,4RB"
https://shopee.co.id/Pashmina-Crinkle-Negro-shawl-Motif-8-umama-Pashmina-motif-Pasmina-Rawis-Crinkle-motif-i.69378570.1915687710,"['4.8', '126', '393']",,"['KategoriShopeeFashion MuslimHijabHijab Segi Empat', 'MerekTidak Ada Merek', 'Asal ProdukLokal', 'StyleCasual', 'Bahanspring voal', 'Stok16', 'Dikirim DariKOTA SURABAYA - LAKAR SANTRI, JAWA TIMUR, ID']",grosir_hijab_termurah,"['65,8RB', '435', '98%', 'hitungan jam', '3 tahun lalu', '84,6RB']",4.8,126,393,KategoriShopeeFashion MuslimHijabHijab Segi Empat,MerekTidak Ada Merek,Asal ProdukLokal,StyleCasual,"65,8RB",435,98%,hitungan jam,3 tahun lalu,"84,6RB"
https://shopee.co.id/Pashmina-Crinkle-Kusut-Shawl-Cotton-Crush-Import-i.291240591.4244513266,"['5.0', '23', '1RB']",Rp25.000,"['KategoriShopeeFashion MuslimHijab', 'MerekAzara', 'Asal ProdukImpor', 'BahanCotton Crinkle', 'Stok2', 'Dikirim DariKOTA SURABAYA - KREMBANGAN, JAWA TIMUR, ID']",shasminakuu,"['665', '8', '92%', 'hitungan jam', '10 bulan lalu', '2,3RB']",5.0,23,1RB,KategoriShopeeFashion MuslimHijab,MerekAzara,Asal ProdukImpor,BahanCotton Crinkle,665,8,92%,hitungan jam,10 bulan lalu,"2,3RB"
https://shopee.co.id/Pashmina-Crincle-Pasmina-Crinkle-Jilbab-Crinckle-Hijab-Crinckle-Pashmina-Negro-Shawl-Murah-i.48783576.7300636168,"['4.8', '18', '88']",Rp15.900 - Rp20.000,"['KategoriShopeeFashion MuslimHijab', 'MerekUmama', 'BahanCotton TR', 'Stok94', 'Dikirim DariKOTA SURABAYA - JAMBANGAN, JAWA TIMUR, ID']",syifa_hijab_grosir,"['5,2RB', '396', '81%', 'hitungan jam', '3 tahun lalu', '4,3RB']",4.8,18,88,KategoriShopeeFashion MuslimHijab,MerekUmama,BahanCotton TR,Stok94,"5,2RB",396,81%,hitungan jam,3 tahun lalu,"4,3RB"
https://shopee.co.id/Jilbab-Pashmina-Azara-Lavanya-Crinkle-(isi-10pcs)-i.175728572.3340748505,"['5.0', '23', '629']",,"['KategoriShopeeFashion MuslimHijab', 'MerekAzara', 'Asal ProdukLokal', 'StyleCasual', 'BahanKatun', 'Stok184', 'Dikirim DariKOTA SURABAYA - SIMOKERTO, JAWA TIMUR, ID']",toko_muslim_afandi,"['1,9RB', '940', '96%', 'hitungan jam', '21 bulan lalu', '3,5RB']",5.0,23,629,KategoriShopeeFashion MuslimHijab,MerekAzara,Asal ProdukLokal,StyleCasual,"1,9RB",940,96%,hitungan jam,21 bulan lalu,"3,5RB"
https://shopee.co.id/Termurah-Pashmina-Crinkle-Negro-Shawl-Motif-7-Umama-Pasmina-Crinkle-Motif-Pasmina-rawis-i.69378570.2771295510,"['4.9', '89', '184']",,"['KategoriShopeeFashion MuslimHijab', 'MerekTidak Ada Merek', 'Asal ProdukLokal', 'StyleCasual', 'BahanSpring Voal', 'Stok14', 'Dikirim DariKOTA SURABAYA - LAKAR SANTRI, JAWA TIMUR, ID']",grosir_hijab_termurah,"['65,8RB', '435', '98%', 'hitungan jam', '3 tahun lalu', '84,6RB']",4.9,89,184,KategoriShopeeFashion MuslimHijab,MerekTidak Ada Merek,Asal ProdukLokal,StyleCasual,"65,8RB",435,98%,hitungan jam,3 tahun lalu,"84,6RB"
https://shopee.co.id/PASMINA-PASHMINA-CRINKLE-CRINKEL-CRINGKEL-CRINGKLE-KRINGKEL-KRINGKLE-KUSUT-NEGRO-LAVANYA-AZARA-SHAWL-i.39813363.4267860697,"['4.9', '42', '116']",,"['KategoriShopeeFashion MuslimHijab', 'MerekAzara', 'BahanCringkle', 'Stok29', 'Dikirim DariKOTA SURABAYA - BUBUTAN, JAWA TIMUR, ID']",zavina_hijab,"['550', '56', '81%', 'hitungan jam', '4 tahun lalu', '1,2RB']",4.9,42,116,KategoriShopeeFashion MuslimHijab,MerekAzara,BahanCringkle,Stok29,550,56,81%,hitungan jam,4 tahun lalu,"1,2RB"
https://shopee.co.id/Termurah-Pashmina-Negro-Shawl-Motif-2-Crinkle-Pasmina-Crinkle-Motif-Pashmina-Umama-Motif-i.69378570.2473360083,"['4.8', '72', '149']",Rp16.900 - Rp24.900,"['KategoriShopeeFashion MuslimHijab', 'MerekTidak Ada Merek', 'Asal ProdukLokal', 'StyleCasual', 'BahanSpring Voal', 'Stok5', 'Dikirim DariKOTA SURABAYA - LAKAR SANTRI, JAWA TIMUR, ID']",grosir_hijab_termurah,"['65,8RB', '435', '98%', 'hitungan jam', '3 tahun lalu', '84,6RB']",4.8,72,149,KategoriShopeeFashion MuslimHijab,MerekTidak Ada Merek,Asal ProdukLokal,StyleCasual,"65,8RB",435,98%,hitungan jam,3 tahun lalu,"84,6RB"
https://shopee.co.id/Pashmina-crinkle-i.102977599.3401860615,"['5.0', '7', '14']",,"['KategoriShopeeFashion MuslimHijab', 'MerekTidak Ada Merek', 'Asal ProdukLokal', 'StyleCasual', 'BahanKatun', 'Stok36', 'Dikirim DariKOTA SURABAYA - TAMBAKSARI, JAWA TIMUR, ID']",faldy03,"['2,2RB', '1,1RB', '82%', 'hitungan jam', '31 bulan lalu', '2,8RB']",5.0,7,14,KategoriShopeeFashion MuslimHijab,MerekTidak Ada Merek,Asal ProdukLokal,StyleCasual,"2,2RB","1,1RB",82%,hitungan jam,31 bulan lalu,"2,8RB"
https://shopee.co.id/Hijab-Murah-Pashmina-CRINKLE-Original-by-UMAMA-Scraf-i.97283423.2187235550,"['5.0', '5', '10']",,"['KategoriShopeeFashion MuslimHijab', 'MerekUmama', 'BahanVoal', 'Stok1', 'Dikirim DariKOTA SURABAYA - GENTENG, JAWA TIMUR, ID']",wien.winda,"['260', '109', '42%', 'hitungan jam', '32 bulan lalu', '411']",5.0,5,10,KategoriShopeeFashion MuslimHijab,MerekUmama,BahanVoal,Stok1,260,109,42%,hitungan jam,32 bulan lalu,411
https://shopee.co.id/PASMINA-ARAB_PASMINA-CRINKLE-SHAWL_PASHMINA-NEGRO_HIJAB-PASHMINA-CRINKLE-COTTON-SHAWL_PASMINA-TURKEY-i.165436251.4703011787,"['4.3', '9', '14']",,"['KategoriShopeeFashion MuslimHijab', 'MerekTidak Ada Merek', 'Asal ProdukImpor', 'StyleCasual', 'BahanCrinkle', 'Stok2', 'Dikirim DariKOTA SURABAYA - SIMOKERTO, JAWA TIMUR, ID']",aafnima,"['627', '57', '78%', 'hitungan jam', '22 bulan lalu', '1,3RB']",4.3,9,14,KategoriShopeeFashion MuslimHijab,MerekTidak Ada Merek,Asal ProdukImpor,StyleCasual,627,57,78%,hitungan jam,22 bulan lalu,"1,3RB"
https://shopee.co.id/PART-1-PASHMINA-KUSUT-ORI-TURKEY-PASHMINA-LAVANYA-PASHMINA-CRINKLE-i.84361638.3855829279,"['5.0', '25', '74']",,"['KategoriShopeeFashion MuslimHijab', 'MerekAzara', 'Asal ProdukLokal', 'StyleCasual', 'BahanKatun', 'Stok142', 'Dikirim DariKOTA SURABAYA - SEMAMPIR, JAWA TIMUR, ID']",zeeyazee,"['66', '30', '69%', 'hitungan jam', '34 bulan lalu', '107']",5.0,25,74,KategoriShopeeFashion MuslimHijab,MerekAzara,Asal ProdukLokal,StyleCasual,66,30,69%,hitungan jam,34 bulan lalu,107
https://shopee.co.id/Pasmina-Crinkle-Shawl-Original-Pashmina-Import-Premium-rawis-i.8314620.2852336139,"['4.8', '12', '25']",Rp37.500,"['KategoriShopeeFashion MuslimHijab', 'MerekTidak Ada Merek', 'BahanKatun', 'Stok43', 'Dikirim DariKOTA SURABAYA - GENTENG, JAWA TIMUR, ID']",bensonline3,"['464,3RB', '2RB', '90%', 'hitungan jam', '5 tahun lalu', '137,5RB']",4.8,12,25,KategoriShopeeFashion MuslimHijab,MerekTidak Ada Merek,BahanKatun,Stok43,"464,3RB",2RB,90%,hitungan jam,5 tahun lalu,"137,5RB"
https://shopee.co.id/Termurah-Pashmina-Negro-Shawl-Motif-1-Rawis-Crinkle-Pasmina-Crinkle-Motif-i.69378570.6605406315,"['4.8', '72', '199']",Rp16.900 - Rp24.900,"['KategoriShopeeFashion MuslimHijab', 'MerekTidak Ada Merek', 'Asal ProdukLokal', 'StyleCasual', 'BahanSpring Voal', 'Stok6', 'Dikirim DariKOTA SURABAYA - LAKAR SANTRI, JAWA TIMUR, ID']",grosir_hijab_termurah,"['65,8RB', '435', '98%', 'hitungan jam', '3 tahun lalu', '84,6RB']",4.8,72,199,KategoriShopeeFashion MuslimHijab,MerekTidak Ada Merek,Asal ProdukLokal,StyleCasual,"65,8RB",435,98%,hitungan jam,3 tahun lalu,"84,6RB"
https://shopee.co.id/-COD-Premium-crinkle-hijab-arabian-shawl-pashmina-hijab-import-cotton-hijab-modis-arabian-hijab-i.256833216.6558268406,"['5.0', '1', '2']",,"['KategoriShopeeFashion MuslimHijab', 'MerekTidak Ada Merek', 'Asal ProdukLokal', 'StyleCasual', 'BahanKatun', 'Stok358', 'Dikirim DariKOTA SURABAYA - BULAK, JAWA TIMUR, ID']",nunahijabb,"['14', '30', '48%', 'hitungan jam', '13 bulan lalu', '38']",5.0,1,2,KategoriShopeeFashion MuslimHijab,MerekTidak Ada Merek,Asal ProdukLokal,StyleCasual,14,30,48%,hitungan jam,13 bulan lalu,38
https://shopee.co.id/hijab-segiempat-kusut-hijab-crinkle-renda-pinggir-i.13288432.4032489332,"['4.7', '3', '5']",,"['KategoriShopeeFashion MuslimHijabHijab Segi Empat', 'MerekTidak Ada Merek', 'Asal ProdukLokal', 'Bahankusut', 'Stok2', 'Dikirim DariKOTA SURABAYA - BULAK, JAWA TIMUR, ID']",rilakaufindukufiolshop,"['70', '128', '48%', 'hitungan jam', '5 tahun lalu', '700']",4.7,3,5,KategoriShopeeFashion MuslimHijabHijab Segi Empat,MerekTidak Ada Merek,Asal ProdukLokal,Bahankusut,70,128,48%,hitungan jam,5 tahun lalu,700
https://shopee.co.id/PASHMINA-FULL-PLISKET-CERUTY-BABY-DOLL-PASHMINA-PLISKET-PREMIUM-TANPA-GARIS-TENGAH-PASHMINA-PRISKET-i.285836848.8259922155,"['5.0', '11', '101']",Rp25.500,"['KategoriShopeeFashion MuslimHijab', 'MerekTidak Ada Merek', 'Asal ProdukLokal', 'StyleCasual', 'BahanCeruty', 'Stok13930', 'Dikirim DariKAB. PROBOLINGGO - PAITON, JAWA TIMUR, ID']",goldenparfum01,"['42,1RB', '81', '64%', 'hitungan jam', '11 bulan lalu', '17,8RB']",5.0,11,101,KategoriShopeeFashion MuslimHijab,MerekTidak Ada Merek,Asal ProdukLokal,StyleCasual,"42,1RB",81,64%,hitungan jam,11 bulan lalu,"17,8RB"
https://shopee.co.id/HIJAB-PASHMINA-BABYDOLL-i.10427295.2712856933,"['4.8', '766', '4RB']",,"['KategoriShopeeFashion MuslimHijab', 'MerekTidak Ada Merek', 'Bahanbabydoll', 'Stok4394', 'Dikirim DariKOTA TASIKMALAYA - MANGKUBUMI, JAWA BARAT, ID']",staywear.co,"['73,8RB', '16', '75%', 'hitungan jam', '5 tahun lalu', '92,7RB']",4.8,766,4RB,KategoriShopeeFashion MuslimHijab,MerekTidak Ada Merek,Bahanbabydoll,Stok4394,"73,8RB",16,75%,hitungan jam,5 tahun lalu,"92,7RB"
https://shopee.co.id/6.6-FREE-IKAT-RAMBUT%E2%9C%85-PASHMINA-KAOS-PASHMINA-JERSEY-Haura-Pashmina-Kaos-Premium-Pashmina-Adem-i.212986431.4955767334,"['4.9', '16', '36']",,"['KategoriShopeeFashion MuslimHijab', 'MerekTidak Ada Merek', 'Asal ProdukLokal', 'StyleCasual', 'Bahankaos import', 'Stok5', 'Dikirim DariKAB. BEKASI - CIKARANG SELATAN, JAWA BARAT, ID']",medynaa_official,"['23', '7', '36%', 'hitungan jam', '17 bulan lalu', '68']",4.9,16,36,KategoriShopeeFashion MuslimHijab,MerekTidak Ada Merek,Asal ProdukLokal,StyleCasual,23,7,36%,hitungan jam,17 bulan lalu,68
https://shopee.co.id/Hijab-Kerudung-Segiempat-Voal-Superfine-Laser-Cut-Krudung-Bella-Pollycotton-Laser-Premium-1-i.306117894.5951468286,"['4.6', '1,5RB', '6,6RB']",,"['KategoriShopeeFashion MuslimHijabHijab Segi Empat', 'MerekTidak Ada Merek', 'Asal ProdukLokal', 'Stylecasual', 'Bahankatun', 'Stok1157', 'Dikirim DariKOTA JAKARTA BARAT - PALMERAH, DKI JAKARTA, ID']",hijab.wear,"['4,2RB', '34', '71%', 'hitungan jam', '9 bulan lalu', '4,8RB']",4.6,"1,5RB","6,6RB",KategoriShopeeFashion MuslimHijabHijab Segi Empat,MerekTidak Ada Merek,Asal ProdukLokal,Stylecasual,"4,2RB",34,71%,hitungan jam,9 bulan lalu,"4,8RB"
